config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,n_structure_invalidations,error
SNIPER_BASE,2024-01-02,2,1.2500000000004547,0.6250000000002274,11,2,4,5,1,2,11,2,0,0,2,0,0,
SNIPER_BASE,2024-01-22,0,0.0,0.0,14,0,10,4,0,0,14,0,0,0,0,0,0,
SNIPER_BASE,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,8,0,0,0,0,0,0,
SNIPER_BASE,2024-01-24,2,-0.6070000000001983,-0.30350000000009913,17,2,9,6,2,2,17,2,0,0,2,0,0,
SNIPER_BASE,2024-02-05,1,6.180000000000064,6.180000000000064,24,1,12,11,0,1,24,1,0,0,1,0,0,
SNIPER_BASE,2024-02-06,5,5.680000000003248,1.1360000000006496,10,5,4,1,4,5,10,5,0,0,5,0,0,
SNIPER_BASE,2024-02-14,3,-0.459999999999809,-0.15333333333326968,11,3,4,4,3,3,11,3,0,0,3,0,0,
SNIPER_BASE,2024-02-20,2,-0.6769999999999072,-0.3384999999999536,13,2,8,3,2,2,13,2,0,0,2,0,0,
SNIPER_BASE,2024-03-05,5,7.166000000000622,1.4332000000001244,18,5,4,9,4,5,18,5,0,0,5,0,0,
SNIPER_BASE,2024-03-08,4,-2.2100000000000364,-0.5525000000000091,23,4,11,7,4,4,23,4,0,0,4,0,0,
SNIPER_BASE,2024-04-04,3,7.880000000000109,2.626666666666703,11,3,1,7,1,3,11,3,0,0,3,0,0,
SNIPER_BASE,2024-04-26,4,-2.0299999999997453,-0.5074999999999363,19,4,9,6,4,4,19,4,0,0,4,0,0,
SNIPER_BASE,2024-04-29,6,10.6970000000033,1.7828333333338833,18,6,6,6,4,6,18,6,0,0,6,0,0,
SNIPER_BASE,2024-05-02,6,2.593000000000302,0.432166666666717,29,6,11,12,4,6,29,6,0,0,6,0,0,
SNIPER_BASE,2024-05-06,5,-2.687000000000353,-0.5374000000000706,21,5,6,10,5,5,21,5,0,0,5,0,0,
SNIPER_BASE,2024-05-09,3,7.165999999997894,2.3886666666659644,31,3,18,10,2,3,31,3,0,0,3,0,0,
SNIPER_BASE,2024-05-15,6,4.84900000000016,0.8081666666666933,16,6,4,6,5,6,16,6,0,0,6,0,0,
SNIPER_BASE,2024-05-22,5,25.769999999990887,5.153999999998177,27,5,12,9,3,5,27,5,0,0,5,0,0,
SNIPER_BASE,2024-05-31,10,21.7070000000067,2.17070000000067,21,10,4,7,7,10,21,10,0,0,10,0,0,
SNIPER_BASE,2024-06-05,11,37.749999999999545,3.4318181818181404,16,11,3,2,7,11,16,11,0,0,11,0,0,
SNIPER_BASE,2024-06-07,8,9.007000000008702,1.1258750000010878,42,8,16,17,6,8,42,8,0,0,8,0,0,
SNIPER_BASE,2024-06-12,4,12.090000000001055,3.0225000000002638,26,4,12,9,3,4,26,4,0,0,4,0,0,
SNIPER_BASE,2024-06-13,6,-2.244000000000142,-0.37400000000002365,18,6,8,3,5,6,18,6,0,0,6,0,0,
SNIPER_BASE,2024-06-14,2,10.386999999999716,5.193499999999858,25,2,12,11,1,2,25,2,0,0,2,0,0,
SNIPER_BASE,2024-06-19,0,0.0,0.0,5,0,3,2,0,0,5,0,0,0,0,0,0,
SNIPER_BASE,2024-07-04,2,-0.8499999999994543,-0.42499999999972715,11,2,5,3,2,2,11,2,0,0,2,0,0,
SNIPER_BASE,2024-07-08,4,12.265999999996438,3.0664999999991096,30,4,12,13,3,4,30,4,0,0,4,0,0,
SNIPER_BASE,2024-07-12,9,9.9050000000002,1.1005555555555777,24,9,7,8,6,9,24,9,0,0,9,0,0,
SNIPER_BASE,2024-07-17,8,-1.0509999999994761,-0.13137499999993452,20,8,4,8,6,8,20,8,0,0,8,0,0,
SNIPER_BASE,2024-07-22,2,-0.819999999999709,-0.4099999999998545,20,2,9,8,2,2,20,2,0,0,2,0,0,
SNIPER_BASE,2024-07-30,2,-0.6700000000000728,-0.3350000000000364,19,2,8,9,2,2,19,2,0,0,2,0,0,
SNIPER_BASE,2024-08-01,4,-1.7630000000003747,-0.4407500000000937,17,4,6,7,3,4,17,4,0,0,4,0,0,
SNIPER_BASE,2024-08-05,14,12.232999999992899,0.873785714285207,43,14,14,14,12,14,43,14,0,0,14,0,0,
SNIPER_BASE,2024-08-21,7,-3.443000000000211,-0.491857142857173,15,7,3,5,7,7,15,7,0,0,7,0,0,
SNIPER_BASE,2024-08-28,3,-1.0729999999998654,-0.3576666666666218,20,3,9,7,3,3,20,3,0,0,3,0,0,
SNIPER_BASE,2024-09-24,4,-2.4430000000006658,-0.6107500000001664,23,4,8,10,4,4,23,4,0,0,4,0,0,
SNIPER_BASE,2024-09-30,4,1.383999999999105,0.34599999999977626,34,4,14,16,3,4,34,4,0,0,4,0,0,
SNIPER_BASE,2024-10-01,5,23.490999999992255,4.698199999998451,24,5,10,9,3,5,24,5,0,0,5,0,0,
SNIPER_BASE,2024-10-04,6,8.629000000002634,1.4381666666671056,20,6,6,7,5,6,20,6,0,0,6,0,0,
SNIPER_BASE,2024-10-10,3,0.03999999999996362,0.013333333333321207,14,3,5,5,3,3,14,3,0,0,3,0,0,
SNIPER_BASE,2024-10-15,8,13.754000000013093,1.7192500000016366,22,8,6,7,5,8,22,8,0,0,8,0,0,
SNIPER_BASE,2024-10-18,9,-3.8400000000001455,-0.42666666666668285,25,9,11,5,9,9,25,9,0,0,9,0,0,
SNIPER_BASE,2024-10-22,4,11.067000000004555,2.7667500000011387,22,4,13,4,3,4,22,4,0,0,4,0,0,
SNIPER_BASE,2024-11-13,6,-1.5569999999993342,-0.25949999999988904,18,6,4,7,6,6,18,6,0,0,6,0,0,
SNIPER_BASE,2024-11-28,7,20.379000000003998,2.9112857142862856,29,7,15,6,4,7,29,7,0,0,7,0,0,
SNIPER_BASE,2024-12-02,4,-1.5399999999999636,-0.3849999999999909,26,4,13,9,4,4,26,4,0,0,4,0,0,
SNIPER_BASE,2025-01-03,5,5.410000000003947,1.0820000000007894,22,5,10,7,4,5,22,5,0,0,5,0,0,
SNIPER_BASE,2025-01-08,5,5.629000000001725,1.125800000000345,12,5,3,4,4,5,12,5,0,0,5,0,0,
SNIPER_BASE,2025-01-15,10,33.94340765578151,3.3943407655781512,20,7,3,10,4,7,21,10,3,3,7,0,0,
SNIPER_BASE,2025-01-22,5,2.41399999999976,0.482799999999952,17,5,6,6,4,5,17,5,0,0,5,0,0,
SNIPER_BASE,2025-01-29,4,3.0200000000004366,0.7550000000001091,18,4,10,4,3,4,18,4,0,0,4,0,0,
SNIPER_BASE,2025-01-31,4,8.29300000000103,2.0732500000002574,20,4,11,4,3,4,20,4,0,0,4,0,0,
SNIPER_BASE,2025-02-21,2,-0.8700000000003456,-0.4350000000001728,15,2,6,6,2,2,15,2,0,0,2,0,0,
SNIPER_BASE,2025-03-11,5,7.497000000000753,1.4994000000001506,17,5,6,6,4,5,17,5,0,0,5,0,0,
SNIPER_BASE,2025-03-19,5,1.1330000000007203,0.22660000000014408,19,5,9,4,4,5,19,5,0,0,5,0,0,
SNIPER_BASE,2025-03-26,1,-0.18999999999959982,-0.18999999999959982,18,1,10,6,1,1,18,1,0,0,1,0,0,
SNIPER_BASE,2025-03-31,7,-3.604000000000269,-0.5148571428571813,23,7,10,5,6,7,23,7,0,0,7,0,0,
SNIPER_BASE,2025-04-10,14,47.06200000000945,3.3615714285721032,32,14,7,11,11,14,32,14,0,0,14,0,0,
SNIPER_BASE,2025-05-09,9,-4.759999999998854,-0.5288888888887615,28,9,7,12,9,9,28,9,0,0,9,0,0,
SNIPER_BASE,2025-05-13,13,39.50999999999339,3.0392307692302607,21,13,2,5,10,13,21,13,0,0,13,0,0,
SNIPER_BASE,2025-05-30,11,37.13300000000663,3.3757272727278758,22,11,4,7,8,11,22,11,0,0,11,0,0,
SNIPER_BASE,2025-06-18,10,38.35300000000052,3.835300000000052,20,10,5,4,8,10,20,10,0,0,10,0,0,
SNIPER_BASE,2025-06-30,7,-5.083000000000084,-0.7261428571428691,29,7,8,14,7,7,29,7,0,0,7,0,0,
SNIPER_BASE,2025-07-08,11,4.396000000002459,0.3996363636365872,26,11,7,7,9,11,26,11,0,0,11,0,0,
SNIPER_BASE,2025-07-11,4,-1.6860000000001492,-0.4215000000000373,22,4,8,8,4,4,22,4,0,0,4,0,0,
SNIPER_BASE,2025-07-31,8,-3.87099999999964,-0.483874999999955,22,8,9,5,8,8,22,8,0,0,8,0,0,
SNIPER_BASE,2025-08-11,9,30.245999999996457,3.360666666666273,24,9,8,7,7,9,24,9,0,0,9,0,0,
SNIPER_BASE,2025-09-22,7,-3.2099999999995816,-0.4585714285713688,30,7,8,14,7,7,30,7,0,0,7,0,0,
SNIPER_BASE,2025-10-16,25,109.44499999999152,4.377799999999661,41,25,4,10,20,25,41,25,0,0,25,0,0,
SNIPER_BASE,2025-10-20,14,60.310999999999694,4.307928571428549,36,14,10,12,10,14,36,14,0,0,14,0,0,
SNIPER_BASE,2025-10-28,18,55.719999999999345,3.095555555555519,35,18,10,6,15,18,35,18,0,0,18,0,0,
SNIPER_BASE,2025-11-06,9,15.200000000000728,1.6888888888889697,24,9,7,8,7,9,24,9,0,0,9,0,0,
SNIPER_BASE,2025-11-11,6,1.8299999999981083,0.3049999999996847,27,6,9,11,5,6,27,6,0,0,6,0,0,
SNIPER_BASE,2025-11-13,13,27.612999999994827,2.124076923076525,26,13,7,5,11,13,26,13,0,0,13,0,0,
SNIPER_BASE,2025-12-26,12,-9.830000000004475,-0.8191666666670395,25,12,7,6,12,12,25,12,0,0,12,0,0,
SNIPER_BASE,2026-01-07,8,27.17699999999786,3.3971249999997326,24,8,9,7,7,8,24,8,0,0,8,0,0,
SNIPER_BASE,2026-01-08,13,52.66699999998491,4.051307692306532,27,13,4,10,11,13,27,13,0,0,13,0,0,
SNIPER_BASE,2026-01-16,9,-7.4430000000047585,-0.8270000000005288,14,9,0,3,9,9,14,9,0,0,9,0,0,
SNIPER_BASE,2026-01-22,24,51.32600000000639,2.1385833333335995,47,24,6,16,21,24,47,24,0,0,24,0,0,
SNIPER_BASE,2026-01-26,10,19.01000000000749,1.901000000000749,15,10,1,4,7,10,15,10,0,0,10,0,0,
SNIPER_BASE,2026-02-02,24,426.2810000000063,17.761708333333598,35,24,2,7,19,24,35,24,0,0,24,0,0,
SNIPER_BASE,2026-02-18,11,93.28699999997662,8.480636363634238,36,11,7,15,8,11,36,11,0,0,11,0,0,
SNIPER_BASE,2026-02-19,16,25.3429999999953,1.5839374999997062,23,16,4,3,12,16,23,16,0,0,16,0,0,
SNIPER_BASE,2026-03-12,25,29.812999999980093,1.1925199999992038,41,25,4,12,22,25,41,25,0,0,25,0,0,
SNIPER_BASE,2026-03-17,8,11.296000000007552,1.412000000000944,17,8,3,5,7,8,17,8,0,0,8,0,0,
SNIPER_BASE,2026-03-18,19,28.997000000002117,1.5261578947369536,42,19,9,12,16,19,42,19,0,0,19,0,0,
SNIPER_BASE,2026-03-30,20,30.095999999984087,1.5047999999992043,27,20,2,3,16,20,27,20,0,0,20,0,0,
SNIPER_BASE,2026-04-01,18,50.7369999999828,2.8187222222212664,30,18,3,9,14,18,30,18,0,0,18,0,0,
SNIPER_BASE,2026-04-08,19,-18.188000000008287,-0.957263157895173,33,19,4,9,19,19,33,19,0,0,19,0,0,
SNIPER_BASE,2026-04-14,13,10.074000000004162,0.774923076923397,31,13,5,11,12,13,31,13,0,0,13,0,0,
SNIPER_BASE,2026-04-29,12,37.974000000011074,3.1645000000009227,35,12,5,15,10,12,35,12,0,0,12,0,0,
SNIPER_BASE,2026-05-07,16,95.90900000000511,5.994312500000319,26,16,6,2,11,16,26,16,0,0,16,0,0,
SNIPER_BASE,2026-05-29,16,112.8870000000179,7.055437500001119,37,16,7,11,11,16,37,16,0,0,16,0,0,
SNIPER_BASE,2026-06-01,13,-0.5159999999978028,-0.039692307692138676,32,13,8,10,12,13,32,13,0,0,13,0,0,
SNIPER_BASE,2026-06-11,14,131.87700000000586,9.419785714286133,23,14,5,3,9,14,23,14,0,0,14,0,0,
SNIPER_BASE,2026-06-30,11,-6.372999999999138,-0.579363636363558,27,11,6,9,11,11,27,11,0,0,11,0,0,
SNIPER_BASE,2026-07-02,6,-5.9099999999998545,-0.9849999999999758,27,6,11,7,6,6,27,6,0,0,6,0,0,
SNIPER_BASE,2026-07-03,6,12.109999999994216,2.0183333333323694,23,6,7,8,5,6,23,6,0,0,6,0,0,
SNIPER_BASE,2026-07-06,5,5.289999999997235,1.057999999999447,24,5,13,6,4,5,24,5,0,0,5,0,0,
SNIPER_BASE,2026-07-13,21,74.0199999999877,3.524761904761319,34,21,4,8,17,21,34,21,0,0,21,0,0,
MS_OFF,2024-01-02,2,1.2500000000004547,0.6250000000002274,11,2,4,5,1,2,11,2,0,0,2,0,0,
MS_OFF,2024-01-22,0,0.0,0.0,14,0,10,4,0,0,14,0,0,0,0,0,0,
MS_OFF,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,8,0,0,0,0,0,0,
MS_OFF,2024-01-24,2,-0.6070000000001983,-0.30350000000009913,17,2,9,6,2,2,17,2,0,0,2,0,0,
MS_OFF,2024-02-05,1,6.180000000000064,6.180000000000064,24,1,12,11,0,1,24,1,0,0,1,0,0,
MS_OFF,2024-02-06,5,5.680000000003248,1.1360000000006496,10,5,4,1,4,5,10,5,0,0,5,0,0,
MS_OFF,2024-02-14,3,-0.459999999999809,-0.15333333333326968,11,3,4,4,3,3,11,3,0,0,3,0,0,
MS_OFF,2024-02-20,2,-0.6769999999999072,-0.3384999999999536,13,2,8,3,2,2,13,2,0,0,2,0,0,
MS_OFF,2024-03-05,5,7.166000000000622,1.4332000000001244,18,5,4,9,4,5,18,5,0,0,5,0,0,
MS_OFF,2024-03-08,4,-2.2100000000000364,-0.5525000000000091,23,4,11,7,4,4,23,4,0,0,4,0,0,
MS_OFF,2024-04-04,3,7.880000000000109,2.626666666666703,11,3,1,7,1,3,11,3,0,0,3,0,0,
MS_OFF,2024-04-26,4,-2.0299999999997453,-0.5074999999999363,19,4,9,6,4,4,19,4,0,0,4,0,0,
MS_OFF,2024-04-29,6,10.6970000000033,1.7828333333338833,18,6,6,6,4,6,18,6,0,0,6,0,0,
MS_OFF,2024-05-02,6,2.593000000000302,0.432166666666717,29,6,11,12,4,6,29,6,0,0,6,0,0,
MS_OFF,2024-05-06,5,-2.687000000000353,-0.5374000000000706,21,5,6,10,5,5,21,5,0,0,5,0,0,
MS_OFF,2024-05-09,3,7.165999999997894,2.3886666666659644,31,3,18,10,2,3,31,3,0,0,3,0,0,
MS_OFF,2024-05-15,6,4.84900000000016,0.8081666666666933,16,6,4,6,5,6,16,6,0,0,6,0,0,
MS_OFF,2024-05-22,5,25.769999999990887,5.153999999998177,27,5,12,9,3,5,27,5,0,0,5,0,0,
MS_OFF,2024-05-31,10,21.7070000000067,2.17070000000067,21,10,4,7,7,10,21,10,0,0,10,0,0,
MS_OFF,2024-06-05,11,37.749999999999545,3.4318181818181404,16,11,3,2,7,11,16,11,0,0,11,0,0,
MS_OFF,2024-06-07,8,9.007000000008702,1.1258750000010878,42,8,16,17,6,8,42,8,0,0,8,0,0,
MS_OFF,2024-06-12,4,12.090000000001055,3.0225000000002638,26,4,12,9,3,4,26,4,0,0,4,0,0,
MS_OFF,2024-06-13,6,-2.244000000000142,-0.37400000000002365,18,6,8,3,5,6,18,6,0,0,6,0,0,
MS_OFF,2024-06-14,2,10.386999999999716,5.193499999999858,25,2,12,11,1,2,25,2,0,0,2,0,0,
MS_OFF,2024-06-19,0,0.0,0.0,5,0,3,2,0,0,5,0,0,0,0,0,0,
MS_OFF,2024-07-04,2,-0.8499999999994543,-0.42499999999972715,11,2,5,3,2,2,11,2,0,0,2,0,0,
MS_OFF,2024-07-08,4,12.265999999996438,3.0664999999991096,30,4,12,13,3,4,30,4,0,0,4,0,0,
MS_OFF,2024-07-12,9,9.9050000000002,1.1005555555555777,24,9,7,8,6,9,24,9,0,0,9,0,0,
MS_OFF,2024-07-17,8,-1.0509999999994761,-0.13137499999993452,20,8,4,8,6,8,20,8,0,0,8,0,0,
MS_OFF,2024-07-22,2,-0.819999999999709,-0.4099999999998545,20,2,9,8,2,2,20,2,0,0,2,0,0,
MS_OFF,2024-07-30,2,-0.6700000000000728,-0.3350000000000364,19,2,8,9,2,2,19,2,0,0,2,0,0,
MS_OFF,2024-08-01,4,-1.7630000000003747,-0.4407500000000937,17,4,6,7,3,4,17,4,0,0,4,0,0,
MS_OFF,2024-08-05,14,12.232999999992899,0.873785714285207,43,14,14,14,12,14,43,14,0,0,14,0,0,
MS_OFF,2024-08-21,7,-3.443000000000211,-0.491857142857173,15,7,3,5,7,7,15,7,0,0,7,0,0,
MS_OFF,2024-08-28,3,-1.0729999999998654,-0.3576666666666218,20,3,9,7,3,3,20,3,0,0,3,0,0,
MS_OFF,2024-09-24,4,-2.4430000000006658,-0.6107500000001664,23,4,8,10,4,4,23,4,0,0,4,0,0,
MS_OFF,2024-09-30,4,1.383999999999105,0.34599999999977626,34,4,14,16,3,4,34,4,0,0,4,0,0,
MS_OFF,2024-10-01,5,23.490999999992255,4.698199999998451,24,5,10,9,3,5,24,5,0,0,5,0,0,
MS_OFF,2024-10-04,6,8.629000000002634,1.4381666666671056,20,6,6,7,5,6,20,6,0,0,6,0,0,
MS_OFF,2024-10-10,3,0.03999999999996362,0.013333333333321207,14,3,5,5,3,3,14,3,0,0,3,0,0,
MS_OFF,2024-10-15,8,13.754000000013093,1.7192500000016366,22,8,6,7,5,8,22,8,0,0,8,0,0,
MS_OFF,2024-10-18,9,-3.8400000000001455,-0.42666666666668285,25,9,11,5,9,9,25,9,0,0,9,0,0,
MS_OFF,2024-10-22,4,11.067000000004555,2.7667500000011387,22,4,13,4,3,4,22,4,0,0,4,0,0,
MS_OFF,2024-11-13,6,-1.5569999999993342,-0.25949999999988904,18,6,4,7,6,6,18,6,0,0,6,0,0,
MS_OFF,2024-11-28,7,20.379000000003998,2.9112857142862856,29,7,15,6,4,7,29,7,0,0,7,0,0,
MS_OFF,2024-12-02,4,-1.5399999999999636,-0.3849999999999909,26,4,13,9,4,4,26,4,0,0,4,0,0,
MS_OFF,2025-01-03,5,5.410000000003947,1.0820000000007894,22,5,10,7,4,5,22,5,0,0,5,0,0,
MS_OFF,2025-01-08,5,5.629000000001725,1.125800000000345,12,5,3,4,4,5,12,5,0,0,5,0,0,
MS_OFF,2025-01-15,10,33.94340765578151,3.3943407655781512,20,7,3,10,4,7,21,10,3,3,7,0,0,
MS_OFF,2025-01-22,5,2.41399999999976,0.482799999999952,17,5,6,6,4,5,17,5,0,0,5,0,0,
MS_OFF,2025-01-29,4,3.0200000000004366,0.7550000000001091,18,4,10,4,3,4,18,4,0,0,4,0,0,
MS_OFF,2025-01-31,4,8.29300000000103,2.0732500000002574,20,4,11,4,3,4,20,4,0,0,4,0,0,
MS_OFF,2025-02-21,2,-0.8700000000003456,-0.4350000000001728,15,2,6,6,2,2,15,2,0,0,2,0,0,
MS_OFF,2025-03-11,5,7.497000000000753,1.4994000000001506,17,5,6,6,4,5,17,5,0,0,5,0,0,
MS_OFF,2025-03-19,5,1.1330000000007203,0.22660000000014408,19,5,9,4,4,5,19,5,0,0,5,0,0,
MS_OFF,2025-03-26,1,-0.18999999999959982,-0.18999999999959982,18,1,10,6,1,1,18,1,0,0,1,0,0,
MS_OFF,2025-03-31,7,-3.604000000000269,-0.5148571428571813,23,7,10,5,6,7,23,7,0,0,7,0,0,
MS_OFF,2025-04-10,14,47.06200000000945,3.3615714285721032,32,14,7,11,11,14,32,14,0,0,14,0,0,
MS_OFF,2025-05-09,9,-4.759999999998854,-0.5288888888887615,28,9,7,12,9,9,28,9,0,0,9,0,0,
MS_OFF,2025-05-13,13,39.50999999999339,3.0392307692302607,21,13,2,5,10,13,21,13,0,0,13,0,0,
MS_OFF,2025-05-30,11,37.13300000000663,3.3757272727278758,22,11,4,7,8,11,22,11,0,0,11,0,0,
MS_OFF,2025-06-18,10,38.35300000000052,3.835300000000052,20,10,5,4,8,10,20,10,0,0,10,0,0,
MS_OFF,2025-06-30,7,-5.083000000000084,-0.7261428571428691,29,7,8,14,7,7,29,7,0,0,7,0,0,
MS_OFF,2025-07-08,11,4.396000000002459,0.3996363636365872,26,11,7,7,9,11,26,11,0,0,11,0,0,
MS_OFF,2025-07-11,4,-1.6860000000001492,-0.4215000000000373,22,4,8,8,4,4,22,4,0,0,4,0,0,
MS_OFF,2025-07-31,8,-3.87099999999964,-0.483874999999955,22,8,9,5,8,8,22,8,0,0,8,0,0,
MS_OFF,2025-08-11,9,30.245999999996457,3.360666666666273,24,9,8,7,7,9,24,9,0,0,9,0,0,
MS_OFF,2025-09-22,7,-3.2099999999995816,-0.4585714285713688,30,7,8,14,7,7,30,7,0,0,7,0,0,
MS_OFF,2025-10-16,25,109.44499999999152,4.377799999999661,41,25,4,10,20,25,41,25,0,0,25,0,0,
MS_OFF,2025-10-20,14,60.310999999999694,4.307928571428549,36,14,10,12,10,14,36,14,0,0,14,0,0,
MS_OFF,2025-10-28,18,55.719999999999345,3.095555555555519,35,18,10,6,15,18,35,18,0,0,18,0,0,
MS_OFF,2025-11-06,9,15.200000000000728,1.6888888888889697,24,9,7,8,7,9,24,9,0,0,9,0,0,
MS_OFF,2025-11-11,6,1.8299999999981083,0.3049999999996847,27,6,9,11,5,6,27,6,0,0,6,0,0,
MS_OFF,2025-11-13,13,27.612999999994827,2.124076923076525,26,13,7,5,11,13,26,13,0,0,13,0,0,
MS_OFF,2025-12-26,12,-9.830000000004475,-0.8191666666670395,25,12,7,6,12,12,25,12,0,0,12,0,0,
MS_OFF,2026-01-07,8,27.17699999999786,3.3971249999997326,24,8,9,7,7,8,24,8,0,0,8,0,0,
MS_OFF,2026-01-08,13,52.66699999998491,4.051307692306532,27,13,4,10,11,13,27,13,0,0,13,0,0,
MS_OFF,2026-01-16,9,-7.4430000000047585,-0.8270000000005288,14,9,0,3,9,9,14,9,0,0,9,0,0,
MS_OFF,2026-01-22,24,51.32600000000639,2.1385833333335995,47,24,6,16,21,24,47,24,0,0,24,0,0,
MS_OFF,2026-01-26,10,19.01000000000749,1.901000000000749,15,10,1,4,7,10,15,10,0,0,10,0,0,
MS_OFF,2026-02-02,24,426.2810000000063,17.761708333333598,35,24,2,7,19,24,35,24,0,0,24,0,0,
MS_OFF,2026-02-18,11,93.28699999997662,8.480636363634238,36,11,7,15,8,11,36,11,0,0,11,0,0,
MS_OFF,2026-02-19,16,25.3429999999953,1.5839374999997062,23,16,4,3,12,16,23,16,0,0,16,0,0,
MS_OFF,2026-03-12,25,29.812999999980093,1.1925199999992038,41,25,4,12,22,25,41,25,0,0,25,0,0,
MS_OFF,2026-03-17,8,11.296000000007552,1.412000000000944,17,8,3,5,7,8,17,8,0,0,8,0,0,
MS_OFF,2026-03-18,19,28.997000000002117,1.5261578947369536,42,19,9,12,16,19,42,19,0,0,19,0,0,
MS_OFF,2026-03-30,20,30.095999999984087,1.5047999999992043,27,20,2,3,16,20,27,20,0,0,20,0,0,
MS_OFF,2026-04-01,18,50.7369999999828,2.8187222222212664,30,18,3,9,14,18,30,18,0,0,18,0,0,
MS_OFF,2026-04-08,19,-18.188000000008287,-0.957263157895173,33,19,4,9,19,19,33,19,0,0,19,0,0,
MS_OFF,2026-04-14,13,10.074000000004162,0.774923076923397,31,13,5,11,12,13,31,13,0,0,13,0,0,
MS_OFF,2026-04-29,12,37.974000000011074,3.1645000000009227,35,12,5,15,10,12,35,12,0,0,12,0,0,
MS_OFF,2026-05-07,16,95.90900000000511,5.994312500000319,26,16,6,2,11,16,26,16,0,0,16,0,0,
MS_OFF,2026-05-29,16,112.8870000000179,7.055437500001119,37,16,7,11,11,16,37,16,0,0,16,0,0,
MS_OFF,2026-06-01,13,-0.5159999999978028,-0.039692307692138676,32,13,8,10,12,13,32,13,0,0,13,0,0,
MS_OFF,2026-06-11,14,131.87700000000586,9.419785714286133,23,14,5,3,9,14,23,14,0,0,14,0,0,
MS_OFF,2026-06-30,11,-6.372999999999138,-0.579363636363558,27,11,6,9,11,11,27,11,0,0,11,0,0,
MS_OFF,2026-07-02,6,-5.9099999999998545,-0.9849999999999758,27,6,11,7,6,6,27,6,0,0,6,0,0,
MS_OFF,2026-07-03,6,12.109999999994216,2.0183333333323694,23,6,7,8,5,6,23,6,0,0,6,0,0,
MS_OFF,2026-07-06,5,5.289999999997235,1.057999999999447,24,5,13,6,4,5,24,5,0,0,5,0,0,
MS_OFF,2026-07-13,21,74.0199999999877,3.524761904761319,34,21,4,8,17,21,34,21,0,0,21,0,0,
CONV_05,2024-01-02,2,1.2500000000004547,0.6250000000002274,11,2,4,5,1,2,11,2,0,0,2,0,0,
CONV_05,2024-01-22,0,0.0,0.0,14,0,10,4,0,0,14,0,0,0,0,0,0,
CONV_05,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,8,0,0,0,0,0,0,
CONV_05,2024-01-24,2,-0.6070000000001983,-0.30350000000009913,17,2,9,6,2,2,17,2,0,0,2,0,0,
CONV_05,2024-02-05,1,6.180000000000064,6.180000000000064,24,1,12,11,0,1,24,1,0,0,1,0,0,
CONV_05,2024-02-06,5,5.680000000003248,1.1360000000006496,10,5,4,1,4,5,10,5,0,0,5,0,0,
CONV_05,2024-02-14,3,-0.459999999999809,-0.15333333333326968,11,3,4,4,3,3,11,3,0,0,3,0,0,
CONV_05,2024-02-20,2,-0.6769999999999072,-0.3384999999999536,13,2,8,3,2,2,13,2,0,0,2,0,0,
CONV_05,2024-03-05,5,7.166000000000622,1.4332000000001244,18,5,4,9,4,5,18,5,0,0,5,0,0,
CONV_05,2024-03-08,4,-2.2100000000000364,-0.5525000000000091,23,4,11,7,4,4,23,4,0,0,4,0,0,
CONV_05,2024-04-04,3,7.880000000000109,2.626666666666703,11,3,1,7,1,3,11,3,0,0,3,0,0,
CONV_05,2024-04-26,4,-2.0299999999997453,-0.5074999999999363,19,4,9,6,4,4,19,4,0,0,4,0,0,
CONV_05,2024-04-29,6,10.6970000000033,1.7828333333338833,18,6,6,6,4,6,18,6,0,0,6,0,0,
CONV_05,2024-05-02,6,2.593000000000302,0.432166666666717,29,6,11,12,4,6,29,6,0,0,6,0,0,
CONV_05,2024-05-06,5,-2.687000000000353,-0.5374000000000706,21,5,6,10,5,5,21,5,0,0,5,0,0,
CONV_05,2024-05-09,3,7.165999999997894,2.3886666666659644,31,3,18,10,2,3,31,3,0,0,3,0,0,
CONV_05,2024-05-15,6,4.84900000000016,0.8081666666666933,16,6,4,6,5,6,16,6,0,0,6,0,0,
CONV_05,2024-05-22,5,25.769999999990887,5.153999999998177,27,5,12,9,3,5,27,5,0,0,5,0,0,
CONV_05,2024-05-31,10,21.7070000000067,2.17070000000067,21,10,4,7,7,10,21,10,0,0,10,0,0,
CONV_05,2024-06-05,11,37.749999999999545,3.4318181818181404,16,11,3,2,7,11,16,11,0,0,11,0,0,
CONV_05,2024-06-07,8,9.007000000008702,1.1258750000010878,42,8,16,17,6,8,42,8,0,0,8,0,0,
CONV_05,2024-06-12,4,12.090000000001055,3.0225000000002638,26,4,12,9,3,4,26,4,0,0,4,0,0,
CONV_05,2024-06-13,6,-2.244000000000142,-0.37400000000002365,18,6,8,3,5,6,18,6,0,0,6,0,0,
CONV_05,2024-06-14,2,10.386999999999716,5.193499999999858,25,2,12,11,1,2,25,2,0,0,2,0,0,
CONV_05,2024-06-19,0,0.0,0.0,5,0,3,2,0,0,5,0,0,0,0,0,0,
